bankruptid;startdate
122352;2016-10-13
122394;2016-10-14
122436;2016-10-14
122438;2016-10-14
122515;2016-10-15
122539;2016-10-15
122553;2016-10-15
122578;2016-10-16
122664;2016-10-17
122674;2016-10-17
122680;2016-10-17
122686;2016-10-17
122688;2016-10-17
122714;2016-10-17
122722;2016-10-17
122743;2016-10-17
122745;2016-10-17
122749;2016-10-17
122760;2016-11-10
122764;2016-10-17
122765;2016-10-17
122768;2016-10-17
122792;2016-10-18
122801;2016-10-18
122842;2016-10-18
122876;2016-10-18
122931;2016-10-18
122973;2016-10-19
123039;2016-10-19
123040;2016-10-19
123179;2016-10-20
123199;2016-10-20
123291;2016-10-23
123317;2016-10-21
123319;2016-10-21
123367;2016-10-21
123372;2016-10-21
123393;2016-10-22
123394;2016-10-22
123608;2016-10-24
123612;2016-10-24
123637;2016-10-24
123723;2016-10-25
123729;2016-10-25
123748;2016-10-25
123751;2017-01-18
123789;2016-10-25
123860;2016-10-26
123897;2016-10-26
123910;2016-10-26
123942;2016-10-26
124003;2016-10-27
124010;2016-10-27
124012;2016-10-27
124108;2016-10-27
124109;2016-10-27
124110;2016-10-27
124117;2016-10-27
124143;2016-10-28
124161;2016-10-28
124167;2016-10-28
124169;2016-10-28
124182;2016-10-28
124191;2016-10-28
124228;2016-10-28
124268;2016-10-28
124396;2016-10-31
124414;2016-10-31
124421;2016-10-31
124467;2016-10-31
124509;2016-10-31
124511;2016-10-31
124514;2016-10-31
124536;2016-11-01
124539;2016-11-01
124625;2016-11-01
124649;2016-11-01
124659;2016-11-01
124668;2016-11-03
124694;2016-11-02
124706;2016-11-02
124724;2016-11-02
124734;2016-11-02
124744;2016-11-02
124753;2016-11-02
124755;2016-11-02
124801;2016-11-02
124810;2016-11-02
124812;2016-11-02
124822;2016-11-03
125050;2016-11-06
125054;2016-11-06
125071;2016-11-06
125123;2016-11-07
125138;2016-11-07
125284;2016-11-08
125314;2016-11-08
125336;2016-11-08
125339;2016-11-08
125357;2016-11-08
125381;2016-11-08
125394;2016-11-08
125405;2016-11-08
125409;2016-11-08
125474;2016-11-09
125504;2016-11-09
125590;2016-11-10
125602;2016-11-10
125640;2016-11-10
125647;2016-11-10
125659;2016-11-10
125662;2016-11-10
125703;2016-11-10
125737;2016-11-11
125760;2016-11-11
125762;2016-11-11
125779;2016-11-11
125817;2016-11-11
125874;2016-11-13
125883;2016-11-13
125964;2016-11-14
126000;2016-11-14
126007;2016-11-14
126010;2016-11-14
126032;2016-11-14
126056;2016-11-14
126090;2016-11-15
126101;2016-11-15
126155;2016-11-15
126158;2016-11-15
126188;2016-11-15
126190;2016-11-15
126198;2016-11-15
126298;2016-11-16
126315;2016-11-16
126318;2016-11-16
126363;2016-11-16
126381;2016-11-16
126391;2016-11-16
126396;2016-11-17
126499;2016-11-17
126503;2016-11-17
126520;2016-11-17
126543;2016-11-17
126558;2016-11-18
126644;2016-11-18
126649;2016-11-18
126692;2016-11-18
126721;2016-11-19
126734;2016-11-19
126785;2016-11-20
126804;2016-11-21
126850;2016-11-21
126856;2016-11-21
126888;2016-11-21
126904;2016-11-21
126934;2016-11-21
126939;2016-11-21
127046;2016-11-22
